mmsi,vessel_name,flag,vessel_type,length_m,gear_type,total_visits,total_hours_in_mpa,mean_speed_knots,max_speed_knots,speed_std_knots,visits_with_fishing,visits_with_dark_periods,total_violations,weighted_violations,critical_count,high_count,medium_count,low_count,violation_types,dark_events,total_dark_hours,avg_dark_hours,gap_events,total_gap_hours,violation_score,dark_vessel_score_norm,fishing_score,repeat_visit_score,anomaly_score,is_anomaly,flag_state_risk,composite_risk_score,risk_category
273250200,LAZURNYY,RUS,TRAWLERS,,,1,367.4975,0.0,0.0,0,1,1,46,46.0,46,0,0,0,ILLEGAL_FISHING,45,7200.4915760875,0.0,45,7200.4915760875,1.0,1.0,1.0,0.1,0.0,0,0.85,0.7375,HIGH
273258100,STARYY ARBAT,RUS,TRAWLERS,,,1,349.661111111111,0.0,0.0,0,1,1,44,44.0,44,0,0,0,ILLEGAL_FISHING,43,7914.285732318889,0.0,43,7914.285732318889,1.0,1.0,1.0,0.1,0.0,0,0.85,0.7375,HIGH
273259100,Unknown,RUS,TRAWLERS,,,1,387.96277777777755,0.0,0.0,0,1,1,48,48.0,48,0,0,0,ILLEGAL_FISHING,47,7516.119780096945,0.0,47,7516.119780096945,1.0,1.0,1.0,0.1,0.0,0,0.85,0.7375,HIGH
431613000,KINEIMARU NO.88,JPN,DRIFTING_LONGLINES,,,1,341.1547222222222,0.0,0.0,0,1,1,43,43.0,43,0,0,0,ILLEGAL_FISHING,42,7730.779108523333,0.0,42,7730.779108523333,1.0,1.0,1.0,0.1,0.0,0,0.35,0.6625,HIGH
432943000,"KAIO MARU NO,81",JPN,DRIFTING_LONGLINES,,,1,320.0011111111109,0.0,0.0,0,1,1,40,40.0,40,0,0,0,ILLEGAL_FISHING,39,8111.998916666666,0.0,39,8111.998916666666,1.0,1.0,1.0,0.1,0.0,0,0.35,0.6625,HIGH
431022000,CHOKYU MARU NO.21,JPN,DRIFTING_LONGLINES,,,1,263.58305555555563,0.0,0.0,0,1,1,33,33.0,33,0,0,0,ILLEGAL_FISHING,32,8192.40430976,0.0,32,8192.40430976,1.0,1.0,1.0,0.1,0.0,0,0.35,0.6625,HIGH
432346000,KINEIMARU NO.138-99%,JPN,DRIFTING_LONGLINES,,,1,203.62972222222226,0.0,0.0,0,1,1,25,25.0,25,0,0,0,ILLEGAL_FISHING,24,7868.515466666667,0.0,24,7868.515466666667,1.0,1.0,1.0,0.1,0.0,0,0.35,0.6625,HIGH
431047000,TAKATOYO MARU NO.88,JPN,DRIFTING_LONGLINES,,,1,200.4683333333333,0.0,0.0,0,1,1,25,25.0,25,0,0,0,ILLEGAL_FISHING,24,7871.5504,0.0,24,7871.5504,1.0,1.0,1.0,0.1,0.0,0,0.35,0.6625,HIGH
251206000,HOFFELL SU,ISL,TRAWLERS,,,1,200.69305555555553,0.0,0.0,0,1,1,25,25.0,25,0,0,0,ILLEGAL_FISHING,24,7871.334666666667,0.0,24,7871.334666666667,1.0,1.0,1.0,0.1,0.0,0,0.3,0.655,HIGH
251407000,BEITIR NK-123,ISL,TRAWLERS,,,1,244.86666666666676,0.0,0.0,0,1,1,31,31.0,31,0,0,0,ILLEGAL_FISHING,30,7683.032258066667,0.0,30,7683.032258066667,1.0,1.0,1.0,0.1,0.0,0,0.3,0.655,HIGH
261084090,Unknown,POL,TRAWLERS,,,1,193.31833333333338,0.0,0.0,0,1,1,24,15.6,0,24,0,0,ILLEGAL_FISHING,23,8094.736597222222,0.0,23,8094.736597222222,1.0,1.0,0.966591666666667,0.1,0.0,0,0.35,0.6541,HIGH
