mpa_name,gap_start_time,gap_end_time,gap_duration_hours,in_mpa
North Atlantic Current and Evlanov Sea Basin MPA,2024-01-08,2024-01-15 00:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-01-15,2024-01-22 00:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-01-22,2024-01-29 00:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-01-29,2024-02-05 00:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-02-05,2024-02-12 00:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-02-12,2024-02-19 00:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-02-19,2024-02-26 00:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-02-26,2024-03-04 00:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-03-04,2024-03-11 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-03-11,2024-03-18 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-03-18,2024-03-25 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-03-25,2024-04-01 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-04-01,2024-04-08 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-04-08,2024-04-15 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-04-15,2024-04-22 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-04-22,2024-04-29 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-04-29,2024-05-06 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-05-06,2024-05-13 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-05-13,2024-05-20 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-05-20,2024-05-27 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-05-27,2024-06-03 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-06-03,2024-06-10 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-06-10,2024-06-17 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-06-17,2024-06-24 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-06-24,2024-07-01 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-07-01,2024-07-08 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-07-08,2024-07-15 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-07-15,2024-07-22 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-07-22,2024-07-29 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-07-29,2024-08-05 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-08-05,2024-08-12 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-08-12,2024-08-19 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-08-19,2024-08-26 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-08-26,2024-09-02 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-09-02,2024-09-09 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-09-09,2024-09-16 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-09-16,2024-09-23 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-09-23,2024-09-30 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-09-30,2024-10-07 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-10-07,2024-10-14 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-10-14,2024-10-21 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-10-21,2024-10-28 01:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-10-28,2024-11-04 00:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-11-04,2024-11-11 00:00:00,168.0,True
North Atlantic Current and Evlanov Sea Basin MPA,2024-11-11,2024-11-18 00:00:00,168.0,True
