mpa_name,violation_type,severity,detection_timestamp,start_time,end_time,anomaly_score,risk_score
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-01-01,2024-01-01 00:00:00,2024-01-01 03:00:00,0.900,0.850
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-01-08,2024-01-08 00:00:00,2024-01-08 03:00:00,0.907,0.859
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-01-15,2024-01-15 00:00:00,2024-01-15 03:00:00,0.914,0.868
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-01-22,2024-01-22 00:00:00,2024-01-22 03:00:00,0.921,0.877
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-01-29,2024-01-29 00:00:00,2024-01-29 03:00:00,0.928,0.886
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-02-05,2024-02-05 00:00:00,2024-02-05 03:00:00,0.935,0.895
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-02-12,2024-02-12 00:00:00,2024-02-12 03:00:00,0.942,0.904
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-02-19,2024-02-19 00:00:00,2024-02-19 03:00:00,0.949,0.913
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-02-26,2024-02-26 00:00:00,2024-02-26 03:00:00,0.956,0.850
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-03-04,2024-03-04 00:00:00,2024-03-04 03:00:00,0.963,0.859
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-03-12,2024-03-12 00:00:00,2024-03-12 03:00:00,0.900,0.868
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-03-19,2024-03-19 00:00:00,2024-03-19 03:00:00,0.907,0.877
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-03-26,2024-03-26 00:00:00,2024-03-26 03:00:00,0.914,0.886
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-04-02,2024-04-02 00:00:00,2024-04-02 03:00:00,0.921,0.895
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-04-09,2024-04-09 00:00:00,2024-04-09 03:00:00,0.928,0.904
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-04-16,2024-04-16 00:00:00,2024-04-16 03:00:00,0.935,0.913
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-04-23,2024-04-23 00:00:00,2024-04-23 03:00:00,0.942,0.850
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-04-30,2024-04-30 00:00:00,2024-04-30 03:00:00,0.949,0.859
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-05-07,2024-05-07 00:00:00,2024-05-07 03:00:00,0.956,0.868
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-05-14,2024-05-14 00:00:00,2024-05-14 03:00:00,0.963,0.877
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-05-21,2024-05-21 00:00:00,2024-05-21 03:00:00,0.900,0.886
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-05-28,2024-05-28 00:00:00,2024-05-28 03:00:00,0.907,0.895
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-06-04,2024-06-04 00:00:00,2024-06-04 03:00:00,0.914,0.904
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-06-11,2024-06-11 00:00:00,2024-06-11 03:00:00,0.921,0.913
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-06-18,2024-06-18 00:00:00,2024-06-18 03:00:00,0.928,0.850
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-06-25,2024-06-25 00:00:00,2024-06-25 03:00:00,0.935,0.859
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-07-02,2024-07-02 00:00:00,2024-07-02 03:00:00,0.942,0.868
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-07-09,2024-07-09 00:00:00,2024-07-09 03:00:00,0.949,0.877
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-07-16,2024-07-16 00:00:00,2024-07-16 03:00:00,0.956,0.886
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-07-23,2024-07-23 00:00:00,2024-07-23 03:00:00,0.963,0.895
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-07-30,2024-07-30 00:00:00,2024-07-30 03:00:00,0.900,0.904
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-08-06,2024-08-06 00:00:00,2024-08-06 03:00:00,0.907,0.913
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-08-13,2024-08-13 00:00:00,2024-08-13 03:00:00,0.914,0.850
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-08-20,2024-08-20 00:00:00,2024-08-20 03:00:00,0.921,0.859
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-08-27,2024-08-27 00:00:00,2024-08-27 03:00:00,0.928,0.868
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-09-03,2024-09-03 00:00:00,2024-09-03 03:00:00,0.935,0.877
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-09-10,2024-09-10 00:00:00,2024-09-10 03:00:00,0.942,0.886
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-09-17,2024-09-17 00:00:00,2024-09-17 03:00:00,0.949,0.895
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-09-24,2024-09-24 00:00:00,2024-09-24 03:00:00,0.956,0.904
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-10-01,2024-10-01 00:00:00,2024-10-01 03:00:00,0.963,0.913
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-10-08,2024-10-08 00:00:00,2024-10-08 03:00:00,0.900,0.850
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-10-15,2024-10-15 00:00:00,2024-10-15 03:00:00,0.907,0.859
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-10-22,2024-10-22 00:00:00,2024-10-22 03:00:00,0.914,0.868
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-10-29,2024-10-29 00:00:00,2024-10-29 03:00:00,0.921,0.877
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-11-04,2024-11-04 00:00:00,2024-11-04 03:00:00,0.928,0.886
North Atlantic Current and Evlanov Sea Basin MPA,HIGH_IMPACT_FISHING,CRITICAL,2024-11-11,2024-11-11 00:00:00,2024-11-11 03:00:00,0.935,0.895
